p_expressed	max_monomer_counts	max_mRNA_counts	cistron_idx	gene_name	cistron_name	protein_name
0.75	310	2	422	EG10431	EG10431_RNA	PROTOHEME-FERROCHELAT-MONOMER
0.25	2556	1	432	EG10441	EG10441_RNA	PD00348
0.25	89	1	433	EG10442	EG10442_RNA	EG10442-MONOMER
0.25	94	1	464	EG10473	EG10473_RNA	EG10473-MONOMER
0.25	76	1	465	EG10474	EG10474_RNA	EG10474-MONOMER
0.25	79	1	466	EG10475	EG10475_RNA	HYCBSMALL-MONOMER
0.25	88	1	467	EG10476	EG10476_RNA	HYCC-MONOMER
0.25	80	1	468	EG10477	EG10477_RNA	HYCD-MONOMER
0.25	84	1	469	EG10478	EG10478_RNA	HYCELARGE-MONOMER
0.25	62	1	470	EG10479	EG10479_RNA	HYCF-MONOMER
0.25	43	1	471	EG10480	EG10480_RNA	HYCG-MONOMER
0.25	23	1	472	EG10481	EG10481_RNA	EG10481-MONOMER
0.25	53	1	474	EG10483	EG10483_RNA	EG10483-MONOMER
0.25	47	1	475	EG10484	EG10484_RNA	EG10484-MONOMER
0.25	32	1	476	EG10485	EG10485_RNA	EG10485-MONOMER
0.25	27	1	477	EG10486	EG10486_RNA	EG10486-MONOMER
0.25	350	1	490	EG10500	EG10500_RNA	ACETOLACTSYNIII-ICHAIN-MONOMER
0.25	65	1	498	EG10508	EG10508_RNA	FPPSYN-MONOMER
0.25	90	1	501	EG10511	EG10511_RNA	HYDROPEROXIDI-MONOMER
0.25	157	1	502	EG10512	EG10512_RNA	AKBLIG-MONOMER
0.25	97	1	503	EG10513	EG10513_RNA	EG10513-MONOMER
0.25	97	1	504	EG10514	EG10514_RNA	KDPB-MONOMER
0.75	1571	2	505	EG10515	EG10515_RNA	EG10515-MONOMER
0.75	159	2	506	EG10516	EG10516_RNA	KDPD-MONOMER
0.5	107	2	510	EG10520	EG10520_RNA	KDOTRANS-MONOMER
0.75	48	2	512	EG10522	EG10522_RNA	KGTP-MONOMER
0.75	40	2	517	EG10527	EG10527_RNA	BETAGALACTOSID-MONOMER
0.75	226	1	524	EG10534	EG10534_RNA	EG10534-MONOMER
0.25	1908	1	540	EG10550	EG10550_RNA	ASPKINIII-MONOMER
0.25	264	2	545	EG10555	EG10555_RNA	MALF-MONOMER
0.75	69	2	547	EG10557	EG10557_RNA	PD00361
0.75	3486	2	548	EG10558	EG10558_RNA	MALK-MONOMER
0.75	234	2	549	EG10559	EG10559_RNA	EG10559-MONOMER
0.75	1961	2	550	EG10560	EG10560_RNA	MALDEXPHOSPHORYL-MONOMER
0.25	178	1	552	EG10562	EG10562_RNA	PD00237
0.75	448	1	553	EG10563	EG10563_RNA	MALX-MONOMER
0.5	4332	1	554	EG10564	EG10564_RNA	EG10564-MONOMER
0.75	303	2	561	EG10571	EG10571_RNA	EG10571-MONOMER
0.25	98	1	562	EG10572	EG10572_RNA	EG10572-MONOMER
0.75	2095	1	566	EG10576	EG10576_RNA	MALATE-DEHASE-MONOMER
0.75	208	1	567	EG10577	EG10577_RNA	ALPHAGALACTOSID-MONOMER
0.75	2342	4	580	EG10590	EG10590_RNA	ASPKINIIHOMOSERDEHYDROGII-MONOMER
0.75	61	1	581	EG10591	EG10591_RNA	PD03938
0.75	212	1	582	EG10592	EG10592_RNA	MGLA-MONOMER
0.75	266	1	583	EG10593	EG10593_RNA	MGLB-MONOMER
0.25	109	1	601	EG10611	EG10611_RNA	EG10611-MONOMER
0.75	109	2	606	EG10616	EG10616_RNA	MANNPDEHYDROG-MONOMER
0.75	95	2	608	EG10618	EG10618_RNA	EG10618-MONOMER
0.5	48	1	613	EG10623	EG10623_RNA	NACGLCTRANS-MONOMER
0.75	114	1	615	EG10625	EG10625_RNA	EG10625-MONOMER
0.5	100	1	616	EG10626	EG10626_RNA	EG10626-MONOMER
0.75	5481	2	618	EG10628	EG10628_RNA	FLAVONADPREDUCT-MONOMER
0.75	1504	2	624	EG10634	EG10634_RNA	EG10634-MONOMER
0.25	893	1	627	EG10637	EG10637_RNA	ACNEULY-MONOMER
0.25	65	1	628	EG10638	EG10638_RNA	NARG-MONOMER
0.25	69	1	629	EG10639	EG10639_RNA	NARH-MONOMER
0.25	71	1	630	EG10640	EG10640_RNA	NARI-MONOMER
0.25	78	1	631	EG10641	EG10641_RNA	NARJ-MONOMER
0.25	372	1	633	EG10643	EG10643_RNA	NARL-MONOMER
0.25	10	1	634	EG10644	EG10644_RNA	NARV-MONOMER
0.25	16	1	636	EG10646	EG10646_RNA	NARX-MONOMER
0.25	31	1	637	EG10647	EG10647_RNA	NARY-MONOMER
0.75	955	2	650	EG10661	EG10661_RNA	NRDB-MONOMER
0.25	32	1	656	EG10667	EG10667_RNA	EG10667-MONOMER
0.5	1224	2	667	EG10678	EG10678_RNA	OPPF-MONOMER
0.75	352	2	671	EG10682	EG10682_RNA	PABASYN-COMPII-MONOMER
0.25	355	1	687	EG10699	EG10699_RNA	6PFK-1-MONOMER
0.75	180	1	699	EG10711	EG10711_RNA	EG10711-MONOMER
0.75	868	2	714	EG10727	EG10727_RNA	ALKAPHOSPHA-MONOMER
0.5	1784	1	715	EG10728	EG10728_RNA	PHOB-MONOMER
0.75	23	2	719	EG10732	EG10732_RNA	PHOQ-MONOMER
0.25	9	1	733	EG10746	EG10746_RNA	EG10746-MONOMER
0.25	20	1	749	EG10762	EG10762_RNA	EG10762-MONOMER
0.75	31	2	751	EG10764	EG10764_RNA	EG10764-MONOMER
0.5	4085	1	757	EG10770	EG10770_RNA	PROS-MONOMER
0.25	238	2	762	EG10775	EG10775_RNA	PSD-MONOMER
0.25	334	2	763	EG10776	EG10776_RNA	EG10776-MONOMER
0.25	291	2	764	EG10777	EG10777_RNA	EG10777-MONOMER
0.25	254	2	765	EG10778	EG10778_RNA	EG10778-MONOMER
0.75	400	2	771	EG10784	EG10784_RNA	PSTC-MONOMER
0.5	62	1	772	EG10785	EG10785_RNA	EG10785-MONOMER
0.5	169	1	787	EG10800	EG10800_RNA	PD00219
0.75	215	1	788	EG10801	EG10801_RNA	PUTA-MONOMER
0.75	119	1	800	EG10813	EG10813_RNA	EG10813-MONOMER
0.75	582	3	801	EG10814	EG10814_RNA	RBSA-MONOMER
0.5	434	2	804	EG10817	EG10817_RNA	EG10817-MONOMER
0.75	25	1	805	EG10818	EG10818_RNA	RIBOKIN-MONOMER
0.25	135	1	806	EG10819	EG10819_RNA	PD03867
0.25	2690	1	809	EG10822	EG10822_RNA	RCSC-MONOMER
0.5	22	1	810	EG10823	EG10823_RNA	EG10823-MONOMER
0.75	59	1	811	EG10824	EG10824_RNA	EG10824-MONOMER
0.5	22	1	812	EG10825	EG10825_RNA	EG10825-MONOMER
0.75	17	1	819	EG10832	EG10832_RNA	EG10832-MONOMER
0.5	2650	1	828	EG10841	EG10841_RNA	EG10841-MONOMER
0.5	26	1	829	EG10842	EG10842_RNA	PD00222
0.25	19	1	833	EG10846	EG10846_RNA	EG10846-MONOMER
0.25	8	1	834	EG10847	EG10847_RNA	EG10847-MONOMER
0.5	1	1	835	EG10848	EG10848_RNA	EG10848-MONOMER
0.25	130	1	882	EG10895	EG10895_RNA	RPOC-MONOMER
0.75	819	2	907	EG10920	EG10920_RNA	EG10920-MONOMER
0.75	199	2	911	EG10926	EG10926_RNA	EG10926-MONOMER
0.75	243	1	912	EG10927	EG10927_RNA	EG10927-MONOMER
0.75	85	3	929	EG10944	EG10944_RNA	PGLYCDEHYDROG-MONOMER
0.25	47	1	935	EG10950	EG10950_RNA	EG10950-MONOMER
0.75	193	1	941	EG10956	EG10956_RNA	EG10956-MONOMER
0.5	307	1	953	EG10968	EG10968_RNA	EG10968-MONOMER
0.5	243	1	954	EG10969	EG10969_RNA	GUTA-MONOMER
0.5	2167	1	955	EG10970	EG10970_RNA	GUTB-MONOMER
0.5	4205	1	956	EG10971	EG10971_RNA	SORB6PDEHYDROG-MONOMER
0.5	5541	1	957	EG10972	EG10972_RNA	PD00345
0.25	142	1	968	EG10983	EG10983_RNA	EG10983-MONOMER
0.25	309	1	974	EG10989	EG10989_RNA	PD00268
0.25	324	1	975	EG10990	EG10990_RNA	THREDEHYDCAT-MONOMER
0.25	296	1	977	EG10992	EG10992_RNA	PD03292
0.75	271	2	988	EG11003	EG11003_RNA	EG11003-MONOMER
0.25	168	1	989	EG11004	EG11004_RNA	EG11004-MONOMER
0.25	209	1	990	EG11005	EG11005_RNA	TRYPTOPHAN-MONOMER
0.25	527	1	1001	EG11016	EG11016_RNA	EG11016-MONOMER
0.75	345	2	1002	EG11017	EG11017_RNA	TREHALAPERI-MONOMER
0.5	9	1	1019	EG11034	EG11034_RNA	TSR-MONOMER
0.5	886	2	1022	EG11037	EG11037_RNA	EG11037-MONOMER
0.75	50	2	1024	EG11039	EG11039_RNA	CHORISMUTPREPHENDEHYDROG-MONOMER
0.5	122	1	1025	EG11040	EG11040_RNA	TYRB-MONOMER
0.75	1750	1	1026	EG11041	EG11041_RNA	TYRP-MONOMER
0.5	428	1	1030	EG11045	EG11045_RNA	URPHOS-MONOMER
0.5	117	1	1031	EG11046	EG11046_RNA	UGPA-MONOMER
0.5	60	1	1032	EG11047	EG11047_RNA	UGPB-MONOMER
0.5	142	1	1033	EG11048	EG11048_RNA	UGPC-MONOMER
0.5	85	1	1034	EG11049	EG11049_RNA	UGPE-MONOMER
0.5	85	2	1047	EG11062	EG11062_RNA	EG11062-MONOMER
0.25	41	1	1048	EG11063	EG11063_RNA	EG11063-MONOMER
0.5	430	1	1049	EG11064	EG11064_RNA	EG11064-MONOMER
0.25	272	2	1050	EG11065	EG11065_RNA	ALTRO-OXIDOREDUCT-MONOMER
0.5	235	1	1060	EG11075	EG11075_RNA	XYLULOKIN-MONOMER
0.5	298	1	1065	EG11081	EG11081_RNA	EG11081-MONOMER
0.75	326	2	1076	EG11093	EG11093_RNA	EG11093-MONOMER
0.25	153	1	1081	EG11098	EG11098_RNA	EG11098-MONOMER
0.25	149	1	1083	EG11100	EG11100_RNA	EG11100-MONOMER
0.75	225	1	1089	EG11108	EG11108_RNA	EG11108-MONOMER
0.25	70	1	1102	EG11123	EG11123_RNA	EG11123-MONOMER
0.25	171	1	1103	EG11124	EG11124_RNA	EG11124-MONOMER
0.25	182	1	1104	EG11125	EG11125_RNA	EG11125-MONOMER
0.75	335	1	1105	EG11126	EG11126_RNA	EG11126-MONOMER
0.25	41	1	1107	EG11128	EG11128_RNA	EG11128-MONOMER
0.25	1210	1	1114	EG11135	EG11135_RNA	NICOTINAMID-MONOMER
0.5	83	2	1118	EG11139	EG11139_RNA	EG11139-MONOMER
0.25	102	1	1120	EG11141	EG11141_RNA	EG11141-MONOMER
0.25	133	1	1124	EG11145	EG11145_RNA	EG11145-MONOMER
0.25	5152	1	1127	EG11149	EG11149_RNA	EG11149-MONOMER
0.75	587	2	1134	EG11156	EG11156_RNA	EG11156-MONOMER
0.5	145	1	1135	EG11157	EG11157_RNA	EG11157-MONOMER
0.25	623	1	1144	EG11167	EG11167_RNA	EG11167-MONOMER
0.25	12	1	1145	EG11168	EG11168_RNA	TTDA-MONOMER
0.25	3	1	1147	EG11171	EG11171_RNA	EG11171-MONOMER
0.5	288	1	1150	EG11174	EG11174_RNA	EG11174-MONOMER
0.25	224	1	1151	EG11175	EG11175_RNA	GKI-MONOMER
0.75	127	2	1159	EG11183	EG11183_RNA	EG11183-MONOMER
0.75	308	2	1162	EG11187	EG11187_RNA	EG11187-MONOMER
0.25	22	1	1179	EG11205	EG11205_RNA	UDPNACETYLMURAMATEDEHYDROG-MONOMER
0.25	291	2	1182	EG11208	EG11208_RNA	EG11208-MONOMER
0.75	157	2	1184	EG11210	EG11210_RNA	EG11210-MONOMER
0.75	724	2	1186	EG11212	EG11212_RNA	EG11212-MONOMER
0.25	37	1	1187	EG11214	EG11214_RNA	EG11214-MONOMER
0.5	41	1	1190	EG11218	EG11218_RNA	CREB-MONOMER
0.5	935	1	1192	EG11221	EG11221_RNA	GLU6PDEHYDROG-MONOMER
0.25	537	1	1197	EG11226	EG11226_RNA	2-ISOPROPYLMALATESYN-MONOMER
0.25	539	1	1198	EG11227	EG11227_RNA	FDNG-MONOMER
0.25	534	1	1199	EG11228	EG11228_RNA	FDNH-MONOMER
0.75	61	1	1200	EG11229	EG11229_RNA	FDNI-MONOMER
0.75	126	1	1206	EG11235	EG11235_RNA	EG11235-MONOMER
0.25	6	1	1207	EG11236	EG11236_RNA	EG11236-MONOMER
0.75	720	1	1209	EG11238	EG11238_RNA	EG11238-MONOMER
0.5	1528	1	1211	EG11241	EG11241_RNA	EG11241-MONOMER
0.25	225	1	1215	EG11246	EG11246_RNA	EG11246-MONOMER
0.5	93	2	1217	EG11249	EG11249_RNA	EG11249-MONOMER
0.75	97	2	1218	EG11250	EG11250_RNA	EG11250-MONOMER
0.5	88	1	1220	EG11252	EG11252_RNA	EG11252-MONOMER
0.5	59	1	1227	EG11259	EG11259_RNA	EG11259-MONOMER
0.75	63	1	1236	EG11269	EG11269_RNA	EG11269-MONOMER
0.25	49	1	1241	EG11275	EG11275_RNA	EG11275-MONOMER
0.25	174	1	1246	EG11281	EG11281_RNA	EG11281-MONOMER
0.5	206	1	1251	EG11287	EG11287_RNA	EG11287-MONOMER
0.25	30	1	1252	EG11288	EG11288_RNA	EG11288-MONOMER
0.5	1620	2	1254	EG11290	EG11290_RNA	EG11290-MONOMER
0.25	62	1	1255	EG11291	EG11291_RNA	EG11291-MONOMER
0.25	37	1	1263	EG11299	EG11299_RNA	EG11299-MONOMER
0.25	47	1	1264	EG11300	EG11300_RNA	EG11300-MONOMER
0.25	53	1	1265	EG11301	EG11301_RNA	EG11301-MONOMER
0.25	0	1	1272	EG11311	EG11311_RNA	EG11311-MONOMER
0.25	552	1	1273	EG11312	EG11312_RNA	EG11312-MONOMER
0.75	6595	1	1275	EG11314	EG11314_RNA	ASL-MONOMER
0.25	1458	1	1296	EG11335	EG11335_RNA	PD04413
0.25	6	1	1315	EG11356	EG11356_RNA	EG11356-MONOMER
0.25	4814	1	1322	EG11363	EG11363_RNA	NACMURLALAAMI2-MONOMER
0.75	190	2	1324	EG11366	EG11366_RNA	PD04418
0.25	3694	2	1328	EG11370	EG11370_RNA	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER
0.25	154	2	1329	EG11371	EG11371_RNA	EG11371-MONOMER
0.5	43	1	1330	EG11372	EG11372_RNA	EG11372-MONOMER
0.75	969	3	1339	EG11381	EG11381_RNA	EG11381-MONOMER
0.5	2505	1	1356	EG11401	EG11401_RNA	EG11401-MONOMER
0.5	8	1	1373	EG11419	EG11419_RNA	BCR-MONOMER
0.75	1081	1	1381	EG11428	EG11428_RNA	UDHA-MONOMER
0.5	516	1	1388	EG11435	EG11435_RNA	PD00364
0.75	110	1	1396	EG11443	EG11443_RNA	RIB5PISOMA-MONOMER
0.75	255	1	1397	EG11444	EG11444_RNA	METHYLMALONYL-COA-MUT-MONOMER
0.75	47	2	1399	EG11447	EG11447_RNA	EG11447-MONOMER
0.25	30664	1	1400	EG11448	EG11448_RNA	ACS-MONOMER
0.5	238	1	1410	EG11458	EG11458_RNA	UDPMANACATRANS-MONOMER
0.25	188	1	1411	EG11459	EG11459_RNA	YIFK-MONOMER
0.25	835	1	1414	EG11463	EG11463_RNA	CORA-MONOMER
0.25	14	1	1415	EG11464	EG11464_RNA	EG11464-MONOMER
0.75	593	3	1418	EG11467	EG11467_RNA	EG11467-MONOMER
0.75	2925	2	1419	EG11468	EG11468_RNA	RHTC-MONOMER
0.75	24	1	1422	EG11471	EG11471_RNA	EG11471-MONOMER
0.75	137	2	1427	EG11479	EG11479_RNA	EG11479-MONOMER
0.5	223	2	1433	EG11488	EG11488_RNA	EG11488-MONOMER
0.5	1296	1	1434	EG11489	EG11489_RNA	EG11489-MONOMER
0.75	166	1	1439	EG11494	EG11494_RNA	EG11494-MONOMER
0.25	29	1	1441	EG11497	EG11497_RNA	EG11497-MONOMER
0.75	181	1	1455	EG11511	EG11511_RNA	EG11511-MONOMER
0.75	829	2	1460	EG11517	EG11517_RNA	EG11517-MONOMER
0.25	13	1	1463	EG11521	EG11521_RNA	EG11521-MONOMER
0.25	161	1	1465	EG11523	EG11523_RNA	EG11523-MONOMER
0.75	214	1	1468	EG11526	EG11526_RNA	EG11526-MONOMER
0.5	153	1	1475	EG11533	EG11533_RNA	EG11533-MONOMER
0.5	71	1	1476	EG11534	EG11534_RNA	EG11534-MONOMER
0.25	24	2	1477	EG11535	EG11535_RNA	EG11535-MONOMER
0.75	116	1	1479	EG11537	EG11537_RNA	EG11537-MONOMER
0.25	16	1	1491	EG11549	EG11549_RNA	EG11549-MONOMER
0.25	35	1	1492	EG11551	EG11551_RNA	EG11551-MONOMER
0.75	10	1	1495	EG11554	EG11554_RNA	EG11554-MONOMER
0.5	773	2	1507	EG11566	EG11566_RNA	YAAU-MONOMER
0.25	15	1	1510	EG11570	EG11570_RNA	EG11570-MONOMER
0.75	83	1	1518	EG11578	EG11578_RNA	EG11578-MONOMER
0.5	136	1	1519	EG11579	EG11579_RNA	EG11579-MONOMER
0.25	155	1	1529	EG11592	EG11592_RNA	EG11592-MONOMER
0.25	151	1	1547	EG11612	EG11612_RNA	PROP-MONOMER
0.75	315	1	1548	EG11613	EG11613_RNA	EG11613-MONOMER
0.75	1971	1	1549	EG11614	EG11614_RNA	BASS-MONOMER
0.5	1574	2	1551	EG11616	EG11616_RNA	SUGE-MONOMER
0.5	152	2	1552	EG11617	EG11617_RNA	BAES-MONOMER
0.5	27	2	1558	EG11623	EG11623_RNA	LSERINEDEAM2-MONOMER
0.5	297	2	1559	EG11624	EG11624_RNA	ARTP-MONOMER
0.5	4986	2	1560	EG11625	EG11625_RNA	ARTI-MONOMER
0.5	56	2	1561	EG11626	EG11626_RNA	ARTQ-MONOMER
0.75	305	2	1563	EG11628	EG11628_RNA	ARTJ-MONOMER
0.75	143	2	1564	EG11629	EG11629_RNA	POTF-MONOMER
0.75	343	2	1565	EG11630	EG11630_RNA	POTG-MONOMER
0.75	314	2	1566	EG11631	EG11631_RNA	POTH-MONOMER
0.75	119	1	1569	EG11635	EG11635_RNA	EG11635-MONOMER
0.25	43	1	1572	EG11639	EG11639_RNA	EG11639-MONOMER
0.5	111	1	1574	EG11643	EG11643_RNA	EG11643-MONOMER
0.75	3224	1	1578	EG11647	EG11647_RNA	CARBOXYL-TRANSFERASE-ALPHA-MONOMER
0.75	143	1	1579	EG11648	EG11648_RNA	MONOMER0-149
0.25	2279	1	1586	EG11656	EG11656_RNA	EG11656-MONOMER
0.75	813	4	1589	EG11659	EG11659_RNA	EG11659-MONOMER
0.75	1007	4	1590	EG11660	EG11660_RNA	EG11660-MONOMER
0.75	340	1	1593	EG11663	EG11663_RNA	EG11663-MONOMER
0.25	93	1	1598	EG11668	EG11668_RNA	ATOC-MONOMER
0.25	30	1	1599	EG11669	EG11669_RNA	ATOD-MONOMER
0.25	26	1	1600	EG11670	EG11670_RNA	ATOA-MONOMER
0.25	167	1	1601	EG11671	EG11671_RNA	EG11671-MONOMER
0.75	1731	2	1608	EG11678	EG11678_RNA	EG11678-MONOMER
0.5	235	1	1612	EG11682	EG11682_RNA	EG11682-MONOMER
0.25	69	1	1614	EG11684	EG11684_RNA	EG11684-MONOMER
0.25	219	1	1615	EG11685	EG11685_RNA	EG11685-MONOMER
0.75	40	1	1617	EG11687	EG11687_RNA	B3659-MONOMER
0.25	5	1	1639	EG11710	EG11710_RNA	GLVC-MONOMER
0.5	111	1	1642	EG11713	EG11713_RNA	EG11713-MONOMER
0.5	26	1	1643	EG11714	EG11714_RNA	EG11714-MONOMER
0.5	25	1	1645	EG11720	EG11720_RNA	YIDY-MONOMER
0.75	190	2	1649	EG11724	EG11724_RNA	EG11724-MONOMER
0.5	100	1	1650	EG11725	EG11725_RNA	EG11725-MONOMER
0.25	62	1	1651	EG11726	EG11726_RNA	EG11726-MONOMER
0.25	38	1	1652	EG11727	EG11727_RNA	EG11727-MONOMER
0.25	58	1	1653	EG11728	EG11728_RNA	EG11728-MONOMER
0.5	16	1	1654	EG11729	EG11729_RNA	EG11729-MONOMER
0.5	77	1	1655	EG11730	EG11730_RNA	EG11730-MONOMER
0.75	203	1	1666	EG11741	EG11741_RNA	EG11741-MONOMER
0.75	15	1	1667	EG11742	EG11742_RNA	YDDA-MONOMER
0.5	3414	1	1671	EG11747	EG11747_RNA	ASPDECARBOX-MONOMER
0.5	21	1	1672	EG11748	EG11748_RNA	EG11748-MONOMER
0.75	54	1	1673	EG11749	EG11749_RNA	EG11749-MONOMER
0.5	42	1	1681	EG11759	EG11759_RNA	EG11759-MONOMER
0.5	159	1	1682	EG11760	EG11760_RNA	EG11760-MONOMER
0.25	96	1	1685	EG11763	EG11763_RNA	EG11763-MONOMER
0.25	101	1	1686	EG11764	EG11764_RNA	EG11764-MONOMER
0.25	70	1	1688	EG11767	EG11767_RNA	YHHJ-MONOMER
0.5	33	1	1689	EG11768	EG11768_RNA	EG11768-MONOMER
0.25	1346	2	1692	EG11774	EG11774_RNA	NUOF-MONOMER
0.75	135	1	1699	EG11784	EG11784_RNA	EG11784-MONOMER
0.5	119	2	1701	EG11786	EG11786_RNA	EG11786-MONOMER
0.5	140	2	1702	EG11787	EG11787_RNA	GDPMANDEHYDRA-MONOMER
